Model,Attribute,Metric,Mean,Std,Threshold,Margin,Margin_sigma,VFR,Pct_Fair,Verdict
Random Forest,ETHNICITY,EOD,0.072192,0.056507,0.1,0.0278,0.5,0.2,80.0,FAIR
Random Forest,ETHNICITY,TI,0.011192,0.008302,0.1,0.0888,10.7,0.0,100.0,FAIR
Random Forest,ETHNICITY,PP,0.04058,0.032445,0.1,0.0594,1.8,0.0333,96.7,FAIR
Random Forest,ETHNICITY,CAL,0.32914,0.097965,0.05,0.2791,2.8,0.0,0.0,UNFAIR
Random Forest,AGE_GROUP,DI,0.483876,0.046742,0.8,0.3161,6.8,0.0,0.0,UNFAIR
Random Forest,AGE_GROUP,SPD,0.325839,0.036391,0.1,0.2258,6.2,0.0,0.0,UNFAIR
Random Forest,AGE_GROUP,EOPP,0.133089,0.047398,0.1,0.0331,0.7,0.2333,23.3,UNFAIR
Random Forest,AGE_GROUP,EOD,0.163522,0.041319,0.1,0.0635,1.5,0.0667,6.7,UNFAIR
Random Forest,AGE_GROUP,TI,0.008855,0.00648,0.1,0.0911,14.1,0.0,100.0,FAIR
Random Forest,AGE_GROUP,PP,0.050724,0.036529,0.1,0.0493,1.3,0.1333,86.7,FAIR
Random Forest,AGE_GROUP,CAL,0.247277,0.058445,0.05,0.1973,3.4,0.0,0.0,UNFAIR
HistGradientBoosting,RACE,DI,0.278953,0.286865,0.8,0.521,1.8,0.0,0.0,UNFAIR
HistGradientBoosting,RACE,SPD,0.420707,0.185605,0.1,0.3207,1.7,0.0,0.0,UNFAIR
HistGradientBoosting,RACE,EOPP,0.270154,0.139235,0.1,0.1702,1.2,0.0333,3.3,UNFAIR
HistGradientBoosting,RACE,EOD,0.362297,0.217345,0.1,0.2623,1.2,0.0,0.0,UNFAIR
HistGradientBoosting,RACE,TI,0.027387,0.021097,0.1,0.0726,3.4,0.0333,96.7,FAIR
HistGradientBoosting,RACE,PP,0.379093,0.293686,0.1,0.2791,1.0,0.0,0.0,UNFAIR
HistGradientBoosting,RACE,CAL,0.539423,0.135265,0.05,0.4894,3.6,0.0,0.0,UNFAIR
HistGradientBoosting,SEX,DI,0.742292,0.079902,0.8,0.0577,0.7,0.2,20.0,UNFAIR
HistGradientBoosting,SEX,SPD,0.139283,0.049023,0.1,0.0393,0.8,0.2333,23.3,UNFAIR
HistGradientBoosting,SEX,EOPP,0.050045,0.037661,0.1,0.05,1.3,0.1333,86.7,FAIR
HistGradientBoosting,SEX,EOD,0.082999,0.037309,0.1,0.017,0.5,0.3667,63.3,FAIR
