k,DI_race,DI_age,pass_DI_race,pass_DI_age
225,0.8152275125706127,0.694827436172855,1,0
226,0.814119170984456,0.6655608157649381,1,0
227,0.8259028528780101,0.7185633456285639,1,0
228,0.7245271507016474,0.6905132835265028,0,0
229,0.7868852459016394,0.698130502357408,0,0
230,0.8161632975496904,0.7152378020257564,1,0
231,0.7213608926284983,0.6945141791439606,0,0
232,0.5872185911401597,0.6876600630345177,0,0
233,0.8570890504286022,0.656837591324781,1,0
234,0.7286228305347819,0.6912186637463269,0,0
235,0.6782249371182177,0.6906988928225165,0,0
236,0.7100709849157053,0.6859233723366671,0,0
237,0.7864562312806679,0.6938556767330315,0,0
238,0.7841322880520928,0.6679247873551671,0,0
239,0.6002656042496679,0.7228958598996855,0,0
240,0.6702266782911944,0.7259492649432202,0,0
241,0.7394866071428572,0.6847545556192316,0,0
242,0.8622869275322695,0.6933887271701648,1,0
243,0.8148148148148148,0.6538161000561123,1,0
244,0.8138911322888064,0.6941426788389213,1,0
245,0.7976501305483028,0.7174432159488989,0,0
246,0.619220607661823,0.6541889383212877,0,0
247,0.7985253941608241,0.6740201372725849,0,0
248,0.6927949276697395,0.6868561659321785,0,0
249,0.8197263569388061,0.6917894971258369,1,0
250,0.8220297174431012,0.6932097026619983,1,0
251,0.7612614837498766,0.6618111407747662,0,0
252,0.7756677890011224,0.6710933408206131,0,0
253,0.7730638852672751,0.6628825228576147,0,0
254,0.8012196704294797,0.6718414763081993,1,0
255,0.8089849166649358,0.677033455058249,1,0
256,0.8544889728815025,0.7018953256568181,1,0
257,0.7918910357934749,0.7194215096367208,0,0
258,0.7992337164750958,0.709018284052195,0,0
259,0.7319412744432793,0.7103974601604054,0,0
260,0.6191219421736645,0.664396212393212,0,0
261,0.8300781250000001,0.688094098450718,1,0
262,0.767979002624672,0.6822292244066843,0,0
263,0.8515831562263608,0.7139661797667244,1,0
264,0.7966173361522197,0.6877442324570568,0,0
265,0.8472143507821881,0.7085468994803519,1,0
266,0.8590796044913693,0.7002729872268365,1,0
267,0.7640065273136996,0.6943559337108298,0,0
268,0.782701849345963,0.7057010692694824,0,0
269,0.6576859504132231,0.7045638869358078,0,0
270,0.6280130660058573,0.6729132116636549,0,0
271,0.7036918480580453,0.7293661825964499,0,0
272,0.7766344203463879,0.6913837789081675,0,0
273,0.7245461720599842,0.6988559170181299,0,0
274,0.7997580736566053,0.6900090462154008,0,0
275,0.867657827696814,0.7231017059399157,1,0
276,0.8301370030009407,0.7162717276265987,1,0
277,0.7029802153769096,0.6960049788958813,0,0
278,0.8129882352941177,0.6719815637144632,1,0
279,0.7537123493975904,0.6858951708393318,0,0
280,0.8813372012708938,0.6770461376531663,1,0
281,0.6271251250073534,0.6940198324103336,0,0
282,0.8122953144743289,0.6970121748557935,1,0
283,0.7167325428194994,0.6828397529913621,0,0
284,0.6025867136978248,0.6580673995410641,0,0
285,0.773282345080534,0.6760669002241702,0,0
286,0.8363799446876011,0.6676338817260227,1,0
287,0.8381666168675233,0.6825561408117088,1,0
288,0.8103139311077189,0.6895648173680639,1,0
289,0.6798404641044234,0.6827334860935524,0,0
290,0.6961178045515396,0.6620881054257083,0,0
291,0.6335403726708075,0.6990236207449334,0,0
292,0.8020539152759948,0.6713221489634202,1,0
293,0.7995651645076933,0.6631341690062873,0,0
294,0.8501950991103481,0.6830126099565782,1,0
295,0.7844982078853047,0.7055930515851428,0,0
